Year,Median Household Income,Median Household Income Margin of Error,County,ID Geography,Slug County
2022,82837,1448.0,San Joaquin County,05000US06077,san-joaquin-county-ca
2022,90158,2311.0,San Luis Obispo County,05000US06079,san-luis-obispo-county-ca
2022,149907,2621.0,San Mateo County,05000US06081,san-mateo-county-ca
2022,92332,1889.0,Santa Barbara County,05000US06083,santa-barbara-county-ca
2022,153792,1545.0,Santa Clara County,05000US06085,santa-clara-county-ca
2022,104409,3173.0,Santa Cruz County,05000US06087,santa-cruz-county-ca
2022,68347,2480.0,Shasta County,05000US06089,shasta-county-ca
2022,61108,9237.0,Sierra County,05000US06091,sierra-county-ca
2022,53898,2640.0,Siskiyou County,05000US06093,siskiyou-county-ca
2022,97037,1724.0,Solano County,05000US06095,solano-county-ca
2022,99266,1988.0,Sonoma County,05000US06097,sonoma-county-ca
2022,74872,1371.0,Stanislaus County,05000US06099,stanislaus-county-ca
2022,72654,3425.0000000000005,Sutter County,05000US06101,sutter-county-ca
2022,59029,4103.0,Tehama County,05000US06103,tehama-county-ca
2022,47317,5890.0,Trinity County,05000US06105,trinity-county-ca
2022,64474,1489.0,Tulare County,05000US06107,tulare-county-ca
2022,70432,4691.0,Tuolumne County,05000US06109,tuolumne-county-ca
2022,102141,1528.0,Ventura County,05000US06111,ventura-county-ca
2022,85097,2333.0,Yolo County,05000US06113,yolo-county-ca
2022,66693,2796.0,Yuba County,05000US06115,yuba-county-ca
2021,112017,1043.0,Alameda County,05000US06001,alameda-county-ca
2021,96000,24486.0,Alpine County,05000US06003,alpine-county-ca
2021,69955,5482.0,Amador County,05000US06005,amador-county-ca
2021,59863,1989.0,Butte County,05000US06007,butte-county-ca
2021,70119,6448.0,Calaveras County,05000US06009,calaveras-county-ca
2021,61861,6540.0,Colusa County,05000US06011,colusa-county-ca
2021,110455,1219.0,Contra Costa County,05000US06013,contra-costa-county-ca
2021,53280,5046.0,Del Norte County,05000US06015,del-norte-county-ca
2021,88770,3114.0,El Dorado County,05000US06017,el-dorado-county-ca
2021,61276,1031.0,Fresno County,05000US06019,fresno-county-ca
2021,56332,4619.0,Glenn County,05000US06021,glenn-county-ca
2021,53350,2424.0,Humboldt County,05000US06023,humboldt-county-ca
2021,49078,2530.0,Imperial County,05000US06025,imperial-county-ca
2021,60925,5516.0,Inyo County,05000US06027,inyo-county-ca
2021,58824,1190.0,Kern County,05000US06029,kern-county-ca
2021,63267,1900.0,Kings County,05000US06031,kings-county-ca
2021,53399,2483.0,Lake County,05000US06033,lake-county-ca
2021,59292,5190.0,Lassen County,05000US06035,lassen-county-ca
2021,76367,411.0,Los Angeles County,05000US06037,los-angeles-county-ca
2021,66709,2541.0,Madera County,05000US06039,madera-county-ca
2021,131008,4163.0,Marin County,05000US06041,marin-county-ca
2021,53304,4026.0,Mariposa County,05000US06043,mariposa-county-ca
2021,56378,1858.0,Mendocino County,05000US06045,mendocino-county-ca
2021,58861,1698.0,Merced County,05000US06047,merced-county-ca
2021,51090,4051.0,Modoc County,05000US06049,modoc-county-ca
2021,71138,11569.0,Mono County,05000US06051,mono-county-ca
2021,82013,1767.0,Monterey County,05000US06053,monterey-county-ca
2021,97498,3817.0,Napa County,05000US06055,napa-county-ca
2021,74617,3763.0,Nevada County,05000US06057,nevada-county-ca
2021,100485,718.0,Orange County,05000US06059,orange-county-ca
2021,99734,1495.0,Placer County,05000US06061,placer-county-ca
2021,57885,4555.0,Plumas County,05000US06063,plumas-county-ca
2021,76066,833.0,Riverside County,05000US06065,riverside-county-ca
2021,76422,758.0,Sacramento County,05000US06067,sacramento-county-ca
2021,95606,5887.0,San Benito County,05000US06069,san-benito-county-ca
2021,70287,765.0,San Bernardino County,05000US06071,san-bernardino-county-ca
2021,88240,741.0,San Diego County,05000US06073,san-diego-county-ca
2021,126187,2010.0,San Francisco County,05000US06075,san-francisco-county-ca
2021,74962,1145.0,San Joaquin County,05000US06077,san-joaquin-county-ca
2021,82514,2487.0,San Luis Obispo County,05000US06079,san-luis-obispo-county-ca
2021,136837,2151.0,San Mateo County,05000US06081,san-mateo-county-ca
2021,84356,1598.0,Santa Barbara County,05000US06083,santa-barbara-county-ca
2021,140258,1577.0,Santa Clara County,05000US06085,santa-clara-county-ca
2021,96093,2903.0,Santa Cruz County,05000US06087,santa-cruz-county-ca
2021,61937,2140.0,Shasta County,05000US06089,shasta-county-ca
2021,56152,7184.000000000001,Sierra County,05000US06091,sierra-county-ca
2021,49857,2637.0,Siskiyou County,05000US06093,siskiyou-county-ca
2021,89648,1708.0,Solano County,05000US06095,solano-county-ca
2021,91607,1792.0,Sonoma County,05000US06097,sonoma-county-ca
2021,68368,1506.0,Stanislaus County,05000US06099,stanislaus-county-ca
2021,67003,2559.0,Sutter County,05000US06101,sutter-county-ca
2021,52901,3393.0,Tehama County,05000US06103,tehama-county-ca
2021,42206,3065.0,Trinity County,05000US06105,trinity-county-ca
2021,57394,1402.0,Tulare County,05000US06107,tulare-county-ca
2021,66846,6779.0,Tuolumne County,05000US06109,tuolumne-county-ca
2021,94150,1310.0,Ventura County,05000US06111,ventura-county-ca
2021,78386,1935.0,Yolo County,05000US06113,yolo-county-ca
2021,62666,3347.0,Yuba County,05000US06115,yuba-county-ca
2020,104888,1041.0,Alameda County,05000US06001,alameda-county-ca
2020,85750,23875.0,Alpine County,05000US06003,alpine-county-ca
2020,65187,4225.0,Amador County,05000US06005,amador-county-ca
2020,54972,2501.0,Butte County,05000US06007,butte-county-ca
2020,67054,4535.0,Calaveras County,05000US06009,calaveras-county-ca
2020,59427,5384.0,Colusa County,05000US06011,colusa-county-ca
2020,103997,1239.0,Contra Costa County,05000US06013,contra-costa-county-ca
2020,49981,5145.0,Del Norte County,05000US06015,del-norte-county-ca
2020,83710,2228.0,El Dorado County,05000US06017,el-dorado-county-ca
2020,57109,929.0,Fresno County,05000US06019,fresno-county-ca
2020,51682,3745.0,Glenn County,05000US06021,glenn-county-ca
2020,49235,2278.0,Humboldt County,05000US06023,humboldt-county-ca
2020,46222,2499.0,Imperial County,05000US06025,imperial-county-ca
2020,59296,4257.0,Inyo County,05000US06027,inyo-county-ca
2020,54851,1087.0,Kern County,05000US06029,kern-county-ca
2020,61556,1585.0,Kings County,05000US06031,kings-county-ca
2020,49254,1891.0,Lake County,05000US06033,lake-county-ca
2020,56971,3441.0,Lassen County,05000US06035,lassen-county-ca
2020,71358,336.0,Los Angeles County,05000US06037,los-angeles-county-ca
2020,61924,2695.0,Madera County,05000US06039,madera-county-ca
2020,121671,3166.0,Marin County,05000US06041,marin-county-ca
2020,50960,3491.0000000000005,Mariposa County,05000US06043,mariposa-county-ca
2020,52915,2375.0,Mendocino County,05000US06045,mendocino-county-ca
2020,56330,1450.0,Merced County,05000US06047,merced-county-ca
2020,51250,4505.0,Modoc County,05000US06049,modoc-county-ca
2020,64924,12575.0,Mono County,05000US06051,mono-county-ca
2020,76943,1395.0,Monterey County,05000US06053,monterey-county-ca
2020,92219,2624.0,Napa County,05000US06055,napa-county-ca
2020,68333,3075.0,Nevada County,05000US06057,nevada-county-ca
2020,94441,865.9999999999999,Orange County,05000US06059,orange-county-ca
2020,93677,1470.0,Placer County,05000US06061,placer-county-ca
2020,57233,5514.0,Plumas County,05000US06063,plumas-county-ca
2020,70732,673.0,Riverside County,05000US06065,riverside-county-ca
2020,70684,700.0,Sacramento County,05000US06067,sacramento-county-ca
2020,85808,5575.0,San Benito County,05000US06069,san-benito-county-ca
2020,65761,602.0,San Bernardino County,05000US06071,san-bernardino-county-ca
2020,82426,734.0,San Diego County,05000US06073,san-diego-county-ca
2020,119136,2130.0,San Francisco County,05000US06075,san-francisco-county-ca
2020,68628,1259.0,San Joaquin County,05000US06077,san-joaquin-county-ca
2020,77948,1751.0,San Luis Obispo County,05000US06079,san-luis-obispo-county-ca
2020,128091,2077.0,San Mateo County,05000US06081,san-mateo-county-ca
2020,78925,1565.0,Santa Barbara County,05000US06083,santa-barbara-county-ca
2020,130890,874.0000000000001,Santa Clara County,05000US06085,santa-clara-county-ca
2020,89986,2417.0,Santa Cruz County,05000US06087,santa-cruz-county-ca
2020,57139,1761.0,Shasta County,05000US06089,shasta-county-ca
2020,52103,5715.0,Sierra County,05000US06091,sierra-county-ca
2020,47403,2202.0,Siskiyou County,05000US06093,siskiyou-county-ca
2020,84638,1362.0,Solano County,05000US06095,solano-county-ca
2020,86173,1168.0,Sonoma County,05000US06097,sonoma-county-ca
2020,62873,1328.0,Stanislaus County,05000US06099,stanislaus-county-ca
2020,63502,2681.0,Sutter County,05000US06101,sutter-county-ca
2020,48895,2550.0,Tehama County,05000US06103,tehama-county-ca
2020,41780,5371.0,Trinity County,05000US06105,trinity-county-ca
2020,52534,1235.0,Tulare County,05000US06107,tulare-county-ca
2020,60509,4193.0,Tuolumne County,05000US06109,tuolumne-county-ca
2020,89295,1119.0,Ventura County,05000US06111,ventura-county-ca
2020,73746,1893.0,Yolo County,05000US06113,yolo-county-ca
2020,59424,2847.0,Yuba County,05000US06115,yuba-county-ca
2019,99406,921.0,Alameda County,05000US06001,alameda-county-ca
2019,63750,17778.0,Alpine County,05000US06003,alpine-county-ca
2019,62772,2756.0,Amador County,05000US06005,amador-county-ca
2019,52537,1618.0,Butte County,05000US06007,butte-county-ca
