County,Percent_of_Adults_with_Bachelors_or_Higher,Year,area_fips,Bachelor_Degree_Quartile
Shasta County,22.8,2022,6089,Lower Middle Education Percentage
Sierra County,23.9,2022,6091,Upper Middle Education Percentage
Siskiyou County,22.0,2022,6093,Lower Middle Education Percentage
Solano County,28.2,2022,6095,Upper Middle Education Percentage
Sonoma County,37.8,2022,6097,High Education Percentage
Stanislaus County,18.2,2022,6099,Lower Middle Education Percentage
Sutter County,20.6,2022,6101,Lower Middle Education Percentage
Tehama County,18.2,2022,6103,Lower Middle Education Percentage
Trinity County,19.2,2022,6105,Lower Middle Education Percentage
Tulare County,15.6,2022,6107,Low Education Percentage
Tuolumne County,24.4,2022,6109,Upper Middle Education Percentage
Ventura County,34.7,2022,6111,High Education Percentage
Yolo County,43.3,2022,6113,High Education Percentage
Yuba County,17.4,2022,6115,Low Education Percentage
Alameda County,49.6,2021,6001,High Education Percentage
Alpine County,39.3,2021,6003,High Education Percentage
Amador County,19.5,2021,6005,Lower Middle Education Percentage
Butte County,29.8,2021,6007,Upper Middle Education Percentage
Calaveras County,19.9,2021,6009,Lower Middle Education Percentage
Colusa County,14.7,2021,6011,Low Education Percentage
Contra Costa County,44.1,2021,6013,High Education Percentage
Del Norte County,16.1,2021,6015,Low Education Percentage
El Dorado County,36.8,2021,6017,High Education Percentage
Fresno County,22.6,2021,6019,Lower Middle Education Percentage
Glenn County,14.9,2021,6021,Low Education Percentage
Humboldt County,31.2,2021,6023,Upper Middle Education Percentage
Imperial County,15.2,2021,6025,Low Education Percentage
Inyo County,27.3,2021,6027,Upper Middle Education Percentage
Kern County,17.6,2021,6029,Low Education Percentage
Kings County,14.3,2021,6031,Low Education Percentage
Lake County,17.5,2021,6033,Low Education Percentage
Lassen County,11.8,2021,6035,Low Education Percentage
Los Angeles County,34.0,2021,6037,Upper Middle Education Percentage
Madera County,16.4,2021,6039,Low Education Percentage
Marin County,60.1,2021,6041,High Education Percentage
Mariposa County,28.9,2021,6043,Upper Middle Education Percentage
Mendocino County,24.5,2021,6045,Upper Middle Education Percentage
Merced County,14.1,2021,6047,Low Education Percentage
Modoc County,19.7,2021,6049,Lower Middle Education Percentage
Mono County,29.5,2021,6051,Upper Middle Education Percentage
Monterey County,26.5,2021,6053,Upper Middle Education Percentage
Napa County,37.0,2021,6055,High Education Percentage
Nevada County,38.7,2021,6057,High Education Percentage
Orange County,42.1,2021,6059,High Education Percentage
Placer County,41.6,2021,6061,High Education Percentage
Plumas County,23.0,2021,6063,Lower Middle Education Percentage
Riverside County,23.5,2021,6065,Upper Middle Education Percentage
Sacramento County,32.0,2021,6067,Upper Middle Education Percentage
San Benito County,20.5,2021,6069,Lower Middle Education Percentage
San Bernardino County,21.9,2021,6071,Lower Middle Education Percentage
San Diego County,40.3,2021,6073,High Education Percentage
San Francisco County,59.5,2021,6075,High Education Percentage
San Joaquin County,19.5,2021,6077,Lower Middle Education Percentage
San Luis Obispo County,36.7,2021,6079,High Education Percentage
San Mateo County,52.5,2021,6081,High Education Percentage
Santa Barbara County,35.1,2021,6083,High Education Percentage
Santa Clara County,54.4,2021,6085,High Education Percentage
Santa Cruz County,41.9,2021,6087,High Education Percentage
Shasta County,22.6,2021,6089,Lower Middle Education Percentage
Sierra County,22.3,2021,6091,Lower Middle Education Percentage
Siskiyou County,21.5,2021,6093,Lower Middle Education Percentage
Solano County,27.8,2021,6095,Upper Middle Education Percentage
Sonoma County,37.1,2021,6097,High Education Percentage
Stanislaus County,17.9,2021,6099,Low Education Percentage
Sutter County,20.0,2021,6101,Lower Middle Education Percentage
Tehama County,17.0,2021,6103,Low Education Percentage
Trinity County,18.6,2021,6105,Lower Middle Education Percentage
Tulare County,15.2,2021,6107,Low Education Percentage
Tuolumne County,24.6,2021,6109,Upper Middle Education Percentage
Ventura County,34.0,2021,6111,Upper Middle Education Percentage
Yolo County,43.1,2021,6113,High Education Percentage
Yuba County,17.7,2021,6115,Low Education Percentage
Alameda County,48.7,2020,6001,High Education Percentage
Alpine County,38.4,2020,6003,High Education Percentage
Amador County,18.1,2020,6005,Lower Middle Education Percentage
Butte County,28.3,2020,6007,Upper Middle Education Percentage
Calaveras County,19.8,2020,6009,Lower Middle Education Percentage
Colusa County,14.9,2020,6011,Low Education Percentage
Contra Costa County,43.3,2020,6013,High Education Percentage
Del Norte County,15.4,2020,6015,Low Education Percentage
El Dorado County,35.2,2020,6017,High Education Percentage
Fresno County,22.0,2020,6019,Lower Middle Education Percentage
Glenn County,14.4,2020,6021,Low Education Percentage
Humboldt County,30.9,2020,6023,Upper Middle Education Percentage
Imperial County,15.4,2020,6025,Low Education Percentage
Inyo County,26.4,2020,6027,Upper Middle Education Percentage
Kern County,17.1,2020,6029,Low Education Percentage
Kings County,15.0,2020,6031,Low Education Percentage
Lake County,16.7,2020,6033,Low Education Percentage
Lassen County,12.7,2020,6035,Low Education Percentage
Los Angeles County,33.5,2020,6037,Upper Middle Education Percentage
Madera County,15.2,2020,6039,Low Education Percentage
Marin County,60.2,2020,6041,High Education Percentage
Mariposa County,26.9,2020,6043,Upper Middle Education Percentage
Mendocino County,24.0,2020,6045,Upper Middle Education Percentage
Merced County,14.1,2020,6047,Low Education Percentage
Modoc County,18.2,2020,6049,Lower Middle Education Percentage
Mono County,32.1,2020,6051,Upper Middle Education Percentage
Monterey County,26.2,2020,6053,Upper Middle Education Percentage
Napa County,37.2,2020,6055,High Education Percentage
Nevada County,37.6,2020,6057,High Education Percentage
Orange County,41.2,2020,6059,High Education Percentage
Placer County,40.8,2020,6061,High Education Percentage
Plumas County,24.5,2020,6063,Upper Middle Education Percentage
Riverside County,23.2,2020,6065,Upper Middle Education Percentage
Sacramento County,31.4,2020,6067,Upper Middle Education Percentage
San Benito County,20.1,2020,6069,Lower Middle Education Percentage
San Bernardino County,21.4,2020,6071,Lower Middle Education Percentage
San Diego County,39.5,2020,6073,High Education Percentage
San Francisco County,58.8,2020,6075,High Education Percentage
San Joaquin County,19.2,2020,6077,Lower Middle Education Percentage
San Luis Obispo County,36.1,2020,6079,High Education Percentage
San Mateo County,52.1,2020,6081,High Education Percentage
Santa Barbara County,35.0,2020,6083,High Education Percentage
Santa Clara County,53.5,2020,6085,High Education Percentage
Santa Cruz County,41.8,2020,6087,High Education Percentage
Shasta County,22.1,2020,6089,Lower Middle Education Percentage
Sierra County,19.4,2020,6091,Lower Middle Education Percentage
Siskiyou County,22.1,2020,6093,Lower Middle Education Percentage
Solano County,27.1,2020,6095,Upper Middle Education Percentage
Sonoma County,36.4,2020,6097,High Education Percentage
Stanislaus County,17.7,2020,6099,Low Education Percentage
Sutter County,20.0,2020,6101,Lower Middle Education Percentage
Tehama County,17.4,2020,6103,Low Education Percentage
Trinity County,19.2,2020,6105,Lower Middle Education Percentage
Tulare County,14.5,2020,6107,Low Education Percentage
Tuolumne County,22.3,2020,6109,Lower Middle Education Percentage
Ventura County,33.9,2020,6111,Upper Middle Education Percentage
Yolo County,42.6,2020,6113,High Education Percentage
Yuba County,18.0,2020,6115,Lower Middle Education Percentage
Alameda County,47.4,2019,6001,High Education Percentage
Alpine County,34.5,2019,6003,High Education Percentage
Amador County,19.3,2019,6005,Lower Middle Education Percentage
Butte County,27.2,2019,6007,Upper Middle Education Percentage
Calaveras County,18.3,2019,6009,Lower Middle Education Percentage
Colusa County,15.0,2019,6011,Low Education Percentage
Contra Costa County,42.4,2019,6013,High Education Percentage
Del Norte County,14.8,2019,6015,Low Education Percentage
El Dorado County,34.3,2019,6017,High Education Percentage
Fresno County,21.2,2019,6019,Lower Middle Education Percentage
Glenn County,14.2,2019,6021,Low Education Percentage
Humboldt County,30.4,2019,6023,Upper Middle Education Percentage
Imperial County,15.2,2019,6025,Low Education Percentage
Inyo County,27.2,2019,6027,Upper Middle Education Percentage
Kern County,16.4,2019,6029,Low Education Percentage
Kings County,14.7,2019,6031,Low Education Percentage
Lake County,15.5,2019,6033,Low Education Percentage
Lassen County,12.9,2019,6035,Low Education Percentage
Los Angeles County,32.5,2019,6037,Upper Middle Education Percentage
Madera County,14.6,2019,6039,Low Education Percentage
Marin County,59.5,2019,6041,High Education Percentage
Mariposa County,24.6,2019,6043,Upper Middle Education Percentage
Mendocino County,24.4,2019,6045,Upper Middle Education Percentage
Merced County,13.8,2019,6047,Low Education Percentage
Modoc County,15.2,2019,6049,Low Education Percentage
Mono County,28.8,2019,6051,Upper Middle Education Percentage
Monterey County,24.7,2019,6053,Upper Middle Education Percentage
Napa County,35.7,2019,6055,High Education Percentage
Nevada County,37.2,2019,6057,High Education Percentage
Orange County,40.6,2019,6059,High Education Percentage
Placer County,39.7,2019,6061,High Education Percentage
Plumas County,23.7,2019,6063,Upper Middle Education Percentage
Riverside County,22.3,2019,6065,Lower Middle Education Percentage
Sacramento County,30.9,2019,6067,Upper Middle Education Percentage
San Benito County,19.7,2019,6069,Lower Middle Education Percentage
San Bernardino County,21.0,2019,6071,Lower Middle Education Percentage
San Diego County,38.8,2019,6073,High Education Percentage
San Francisco County,58.1,2019,6075,High Education Percentage
San Joaquin County,18.8,2019,6077,Lower Middle Education Percentage
San Luis Obispo County,35.4,2019,6079,High Education Percentage
San Mateo County,51.0,2019,6081,High Education Percentage
Santa Barbara County,34.2,2019,6083,High Education Percentage
Santa Clara County,52.4,2019,6085,High Education Percentage
Santa Cruz County,40.8,2019,6087,High Education Percentage
Shasta County,22.2,2019,6089,Lower Middle Education Percentage
Sierra County,17.9,2019,6091,Low Education Percentage
Siskiyou County,23.2,2019,6093,Upper Middle Education Percentage
Solano County,26.9,2019,6095,Upper Middle Education Percentage
Sonoma County,35.5,2019,6097,High Education Percentage
Stanislaus County,17.1,2019,6099,Low Education Percentage
Sutter County,18.2,2019,6101,Lower Middle Education Percentage
Tehama County,15.7,2019,6103,Low Education Percentage
Trinity County,19.5,2019,6105,Lower Middle Education Percentage
Tulare County,14.6,2019,6107,Low Education Percentage
Tuolumne County,20.5,2019,6109,Lower Middle Education Percentage
Ventura County,33.8,2019,6111,Upper Middle Education Percentage
Yolo County,41.4,2019,6113,High Education Percentage
Yuba County,17.1,2019,6115,Low Education Percentage
Alameda County,46.0,2018,6001,High Education Percentage
Alpine County,30.0,2018,6003,Upper Middle Education Percentage
Amador County,20.3,2018,6005,Lower Middle Education Percentage
Butte County,26.5,2018,6007,Upper Middle Education Percentage
Calaveras County,18.7,2018,6009,Lower Middle Education Percentage
Colusa County,15.4,2018,6011,Low Education Percentage
Contra Costa County,41.7,2018,6013,High Education Percentage
Del Norte County,14.3,2018,6015,Low Education Percentage
El Dorado County,33.7,2018,6017,Upper Middle Education Percentage
Fresno County,20.7,2018,6019,Lower Middle Education Percentage
Glenn County,13.9,2018,6021,Low Education Percentage
Humboldt County,29.8,2018,6023,Upper Middle Education Percentage
Imperial County,14.5,2018,6025,Low Education Percentage
Inyo County,26.1,2018,6027,Upper Middle Education Percentage
Kern County,16.1,2018,6029,Low Education Percentage
Kings County,13.5,2018,6031,Low Education Percentage
Lake County,15.8,2018,6033,Low Education Percentage
Lassen County,12.0,2018,6035,Low Education Percentage
Los Angeles County,31.8,2018,6037,Upper Middle Education Percentage
Madera County,14.5,2018,6039,Low Education Percentage
Marin County,58.8,2018,6041,High Education Percentage
