ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
1,"White",2023,"2023",78194,1861,"Fresno County, CA","05000US06019","fresno-county-ca"
1,"White",2023,"2023",72685,5962,"Glenn County, CA","05000US06021","glenn-county-ca"
1,"White",2023,"2023",62608,3002,"Humboldt County, CA","05000US06023","humboldt-county-ca"
1,"White",2023,"2023",57360,4054,"Imperial County, CA","05000US06025","imperial-county-ca"
1,"White",2023,"2023",80946,6832,"Inyo County, CA","05000US06027","inyo-county-ca"
1,"White",2023,"2023",72236,1510,"Kern County, CA","05000US06029","kern-county-ca"
1,"White",2023,"2023",78814,4365,"Kings County, CA","05000US06031","kings-county-ca"
1,"White",2023,"2023",60228,2266,"Lake County, CA","05000US06033","lake-county-ca"
1,"White",2023,"2023",66330,6564,"Lassen County, CA","05000US06035","lassen-county-ca"
1,"White",2023,"2023",101816,695,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
1,"White",2023,"2023",84620,3622.0000000000005,"Madera County, CA","05000US06039","madera-county-ca"
1,"White",2023,"2023",156656,5734,"Marin County, CA","05000US06041","marin-county-ca"
1,"White",2023,"2023",64673,6208,"Mariposa County, CA","05000US06043","mariposa-county-ca"
1,"White",2023,"2023",67266,3440.0000000000005,"Mendocino County, CA","05000US06045","mendocino-county-ca"
1,"White",2023,"2023",68692,3939.9999999999995,"Merced County, CA","05000US06047","merced-county-ca"
1,"White",2023,"2023",57935,4707,"Modoc County, CA","05000US06049","modoc-county-ca"
1,"White",2023,"2023",96898,18042,"Mono County, CA","05000US06051","mono-county-ca"
1,"White",2023,"2023",111662,3911.0000000000005,"Monterey County, CA","05000US06053","monterey-county-ca"
1,"White",2023,"2023",113476,4800,"Napa County, CA","05000US06055","napa-county-ca"
1,"White",2023,"2023",85351,4452,"Nevada County, CA","05000US06057","nevada-county-ca"
1,"White",2023,"2023",121191,1161,"Orange County, CA","05000US06059","orange-county-ca"
1,"White",2023,"2023",114831,2471,"Placer County, CA","05000US06061","placer-county-ca"
1,"White",2023,"2023",64970,4769,"Plumas County, CA","05000US06063","plumas-county-ca"
1,"White",2023,"2023",93974,1632,"Riverside County, CA","05000US06065","riverside-county-ca"
1,"White",2023,"2023",93257,1395,"Sacramento County, CA","05000US06067","sacramento-county-ca"
1,"White",2023,"2023",113221,8965,"San Benito County, CA","05000US06069","san-benito-county-ca"
1,"White",2023,"2023",86349,1533,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
1,"White",2023,"2023",108886,1337,"San Diego County, CA","05000US06073","san-diego-county-ca"
1,"White",2023,"2023",177030,4303,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
1,"White",2023,"2023",91753,2273,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
1,"White",2023,"2023",94922,2560,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
1,"White",2023,"2023",168532,4112,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
1,"White",2023,"2023",102007,2531,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
1,"White",2023,"2023",159432,3225,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
1,"White",2023,"2023",118556,2339,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
1,"White",2023,"2023",73484,2617,"Shasta County, CA","05000US06089","shasta-county-ca"
1,"White",2023,"2023",58333,17245,"Sierra County, CA","05000US06091","sierra-county-ca"
1,"White",2023,"2023",57844,3358,"Siskiyou County, CA","05000US06093","siskiyou-county-ca"
1,"White",2023,"2023",106010,2187,"Solano County, CA","05000US06095","solano-county-ca"
1,"White",2023,"2023",108341,2295,"Sonoma County, CA","05000US06097","sonoma-county-ca"
1,"White",2023,"2023",84095,2307,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
1,"White",2023,"2023",77538,5312,"Sutter County, CA","05000US06101","sutter-county-ca"
1,"White",2023,"2023",62768,4186,"Tehama County, CA","05000US06103","tehama-county-ca"
1,"White",2023,"2023",57921,8092,"Trinity County, CA","05000US06105","trinity-county-ca"
1,"White",2023,"2023",76045,2412,"Tulare County, CA","05000US06107","tulare-county-ca"
1,"White",2023,"2023",73254,6470,"Tuolumne County, CA","05000US06109","tuolumne-county-ca"
1,"White",2023,"2023",109644,1758.0000000000002,"Ventura County, CA","05000US06111","ventura-county-ca"
1,"White",2023,"2023",96292,4018,"Yolo County, CA","05000US06113","yolo-county-ca"
1,"White",2023,"2023",73230,4629,"Yuba County, CA","05000US06115","yuba-county-ca"
2,"Black",2023,"2023",70046,3418.9999999999995,"Alameda County, CA","05000US06001","alameda-county-ca"
2,"Black",2023,"2023",133472,108739,"Amador County, CA","05000US06005","amador-county-ca"
2,"Black",2023,"2023",30766,6866,"Butte County, CA","05000US06007","butte-county-ca"
2,"Black",2023,"2023",86446,889.0000000000001,"Calaveras County, CA","05000US06009","calaveras-county-ca"
2,"Black",2023,"2023",83871,3704,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
2,"Black",2023,"2023",150455,47784,"Del Norte County, CA","05000US06015","del-norte-county-ca"
2,"Black",2023,"2023",46432,35750,"El Dorado County, CA","05000US06017","el-dorado-county-ca"
2,"Black",2023,"2023",51280,5912,"Fresno County, CA","05000US06019","fresno-county-ca"
2,"Black",2023,"2023",49849,33674,"Imperial County, CA","05000US06025","imperial-county-ca"
2,"Black",2023,"2023",46541,7023,"Kern County, CA","05000US06029","kern-county-ca"
2,"Black",2023,"2023",44240,14496,"Kings County, CA","05000US06031","kings-county-ca"
2,"Black",2023,"2023",36223,18476,"Lake County, CA","05000US06033","lake-county-ca"
2,"Black",2023,"2023",62079,1152,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
2,"Black",2023,"2023",75139,31772,"Marin County, CA","05000US06041","marin-county-ca"
2,"Black",2023,"2023",65679,23503,"Mendocino County, CA","05000US06045","mendocino-county-ca"
2,"Black",2023,"2023",48750,6219,"Merced County, CA","05000US06047","merced-county-ca"
2,"Black",2023,"2023",78750,8201,"Monterey County, CA","05000US06053","monterey-county-ca"
2,"Black",2023,"2023",197756,77276,"Napa County, CA","05000US06055","napa-county-ca"
2,"Black",2023,"2023",100255,8629,"Orange County, CA","05000US06059","orange-county-ca"
2,"Black",2023,"2023",128691,19765,"Placer County, CA","05000US06061","placer-county-ca"
2,"Black",2023,"2023",84728,4640,"Riverside County, CA","05000US06065","riverside-county-ca"
2,"Black",2023,"2023",64939,3501.0000000000005,"Sacramento County, CA","05000US06067","sacramento-county-ca"
2,"Black",2023,"2023",65385,44735,"San Benito County, CA","05000US06069","san-benito-county-ca"
2,"Black",2023,"2023",59527,3797,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
2,"Black",2023,"2023",68325,3304,"San Diego County, CA","05000US06073","san-diego-county-ca"
2,"Black",2023,"2023",51610,5226,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
2,"Black",2023,"2023",72447,6225,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
2,"Black",2023,"2023",113125,62332.99999999999,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
2,"Black",2023,"2023",97881,17766,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
2,"Black",2023,"2023",76879,13539,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
2,"Black",2023,"2023",95255,5648,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
